PartitionKey,timeOfTweet,,,Prob,0.695411405
Ben Carson,Sun Feb 28 14:55:38 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 14:55:50 +0000 2016,,,0.653069556,-60.88748172
Ben Carson,Sun Feb 28 14:55:51 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 14:55:54 +0000 2016,,,0.758947074,91.36414545
Ben Carson,Sun Feb 28 14:56:13 +0000 2016,,,0.659130633,-52.17166695
Ben Carson,Sun Feb 28 14:56:21 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 14:56:27 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 14:56:30 +0000 2016,,,0.706349492,15.7289436
Ben Carson,Sun Feb 28 14:56:35 +0000 2016,,,0.711019635,22.44459849
Ben Carson,Sun Feb 28 14:56:51 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 14:56:54 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 14:57:09 +0000 2016,,,0.669221342,-37.66125063
Ben Carson,Sun Feb 28 14:57:19 +0000 2016,,,0.758947074,91.36414545
Ben Carson,Sun Feb 28 14:58:05 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 14:58:26 +0000 2016,,,0.758947074,91.36414545
Ben Carson,Sun Feb 28 14:58:40 +0000 2016,,,0.676503479,-27.18955439
Ben Carson,Sun Feb 28 14:58:50 +0000 2016,,,0.66065371,-49.98148573
Ben Carson,Sun Feb 28 14:58:50 +0000 2016,,,0.758947074,91.36414545
Ben Carson,Sun Feb 28 14:59:06 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 14:59:14 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 14:59:16 +0000 2016,,,0.7199983,35.35589809
Ben Carson,Sun Feb 28 14:59:16 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 14:59:23 +0000 2016,,,0.699262321,5.537608019
Ben Carson,Sun Feb 28 14:59:30 +0000 2016,,,0.758947074,91.36414545
Ben Carson,Sun Feb 28 14:59:34 +0000 2016,,,0.703290343,11.32989438
Ben Carson,Sun Feb 28 14:59:40 +0000 2016,,,0.738091052,61.37323382
Ben Carson,Sun Feb 28 14:59:42 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 14:59:48 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 14:59:49 +0000 2016,,,0.680389762,-21.60108838
Ben Carson,Sun Feb 28 14:59:54 +0000 2016,,,0.702404499,10.05605275
Ben Carson,Sun Feb 28 15:00:03 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 15:00:16 +0000 2016,,,0.69135505,-5.833029477
Ben Carson,Sun Feb 28 15:00:17 +0000 2016,,,0.613366246,-117.9807501
Ben Carson,Sun Feb 28 15:00:18 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 15:00:19 +0000 2016,,,0.69135505,-5.833029477
Ben Carson,Sun Feb 28 15:00:20 +0000 2016,,,0.682599366,-18.42368292
Ben Carson," but no one has extra rights"" won the religious liberty debate.  Hit 90% in my focus grou…",Sun Feb 28 15:00:30 +0000 2016,,0.669471681,-37.30126373
Ben Carson,Sun Feb 28 15:00:30 +0000 2016,,,0.688208699,-10.35747497
Ben Carson,Sun Feb 28 15:00:43 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 15:00:56 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 15:00:57 +0000 2016,,,0.758947074,91.36414545
Ben Carson,Sun Feb 28 15:00:58 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 15:01:05 +0000 2016,,,0.669221342,-37.66125063
Ben Carson,Sun Feb 28 15:01:06 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 15:01:11 +0000 2016,,,0.682599366,-18.42368292
Ben Carson,Sun Feb 28 15:01:14 +0000 2016,,,0.708456516,18.75883927
Ben Carson,Sun Feb 28 15:01:15 +0000 2016,,,0.66444695,-44.52681534
Ben Carson,Sun Feb 28 15:01:15 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 15:01:16 +0000 2016,,,0.673712492,-31.20298727
Ben Carson,Sun Feb 28 15:01:17 +0000 2016,,,0.62204659,-105.4984354
Ben Carson,Sun Feb 28 15:01:20 +0000 2016,,,0.673712492,-31.20298727
Ben Carson,Sun Feb 28 15:01:26 +0000 2016,,,0.752737522,82.43482397
Ben Carson,Sun Feb 28 15:01:27 +0000 2016,,,0.708456516,18.75883927
Ben Carson,Sun Feb 28 15:01:28 +0000 2016,,,0.708456516,18.75883927
Ben Carson,Sun Feb 28 15:01:38 +0000 2016,,,0.758947074,91.36414545
Ben Carson,Sun Feb 28 15:01:47 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 15:02:09 +0000 2016,,,0.758947074,91.36414545
Ben Carson,Sun Feb 28 15:02:09 +0000 2016,,,0.613366246,-117.9807501
Ben Carson,Sun Feb 28 15:02:14 +0000 2016,,,0.758947074,91.36414545
Ben Carson,Sun Feb 28 15:02:15 +0000 2016,,,0.742007613,67.00523952
Ben Carson,Sun Feb 28 15:02:18 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 15:02:19 +0000 2016,,,0.758947074,91.36414545
Ben Carson,Sun Feb 28 15:02:20 +0000 2016,,,0.69783324,3.482592831
Ben Carson,Sun Feb 28 15:02:23 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 15:02:36 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 15:02:46 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 15:02:47 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 15:02:54 +0000 2016,,,0.69135505,-5.833029477
Ben Carson,Sun Feb 28 15:02:55 +0000 2016,,,0.708456516,18.75883927
Ben Carson,Sun Feb 28 15:02:57 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 15:03:05 +0000 2016,,,0.758947074,91.36414545
Ben Carson,Sun Feb 28 15:03:11 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 15:03:26 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 15:03:27 +0000 2016,,,0.708456516,18.75883927
Ben Carson,Sun Feb 28 15:03:32 +0000 2016,,,0.699262321,5.537608019
Ben Carson,Sun Feb 28 15:03:32 +0000 2016,,,0.758947074,91.36414545
Ben Carson,Sun Feb 28 15:03:38 +0000 2016,,,0.758947074,91.36414545
